#step	#e_xz	#s_xz	#dW	#W	#We	#Wp	#dWp	#dWe	#Delta_Ep	#Delta_Ek	#Delta_U	#Delta_T	#Delta_Q	#Delta_Etot	#Delta_Ttally	#dQ	#dU	#Beta_0_diff	#Beta_0_int	#Beta_1_diff	#Beta_1_int
0	0.0	-0.00103654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
100	4.999999999999449e-5	0.000829978	41.49889999999543	41.49889999999543	-3676.003516787408	3717.502416787403	3717.502416787403	-3676.003516787408	-35113.32925650484	38624.66218215532	35113.32925650484	0.029999999999972715	71828.59319993466	35113.32925650484	0.029999999999972715	71828.59319993466	35113.32925650484	19.321734096411863	19.321734096411863	9.887488620705279	9.887488620705279
200	0.00010000000000001674	0.00239813	119.90650000005337	161.40540000004881	11024.81966285935	-10863.414262859302	-14580.916679646705	14700.823179646759	35113.32925650484	-38624.66218215532	35113.32925650484	-0.03200000000003911	-76617.16608009364	35113.32925650484	-0.03200000000003911	-148445.7592800283	0.0	10.180824878263081	7.052770356188887	10.1726013555152	10.27016803713724
300	0.00015000000000001124	0.0040818	204.08999999997752	365.49540000002634	10971.386428291744	-10605.891028291717	257.52323456758495	-53.43323456760663	70226.65851300968	-42135.9951078058	35113.32925650484	-0.033999999999991815	-81405.7389599804	35113.32925650484	-0.033999999999991815	-4788.572879886764	0.0	-18.594721707062284	7.6755209668689535	-17.80221069211378	10.95179768551648
400	0.00020000000000000573	0.00582547	291.27349999996795	656.7688999999943	-7021.780418793451	7678.549318793448	18284.440347085165	-17993.166847085195	-35113.32925650484	56181.32681040774	35113.32925650484	0.04499999999995907	107742.88979990201	35113.32925650484	0.04499999999995907	189148.6287598824	0.0	10.344786341247561	14.031672562966875	10.360716470607324	9.544293642033004
500	0.0002500000000000002	0.00767273	383.6364999999577	1040.4053999999521	1508.208873084457	-467.803473084502	-8146.35279187795	8529.989291877908	-70226.65851300968	101828.65484386402	35113.32925650484	0.08199999999999363	196331.48807998476	35113.32925650484	0.08199999999999363	88588.59828008275	0.0	-10.874633169386804	-419.6879659431692	-10.921726207191703	-346.85198712530763
600	0.0002999999999999947	0.00941495	470.74749999994816	1511.1528999999002	-9195.42578276768	10706.578682767584	11174.382155852087	-10703.634655852136	-70226.65851300968	105339.98776951451	70226.65851300968	0.08400000000006003	201120.06096014372	70226.65851300968	0.08400000000006003	4788.572880158958	35113.32925650484	0.4285313329516975	18.784717968201157	-2.671647385955135	12.366654117084225
700	0.00035000000000001696	0.0112787	563.9350000002509	2075.087900000151	-6682.849720752546	8757.937620752702	-1948.6410620148818	2512.576062015133	0.0	45647.32803345629	70226.65851300968	0.03600000000005821	86194.31184013936	70226.65851300968	0.03600000000005821	-114925.74912000436	0.0	58.97738242320107	9.841850395907636	58.687983307585014	2.0601586821509175
800	0.00040000000000001146	0.012972	648.5999999999285	2723.6879000000795	12681.736493444088	-9958.048593444008	-18715.98621419671	19364.586214196635	70226.65851300968	-28090.66340520387	70226.65851300968	-0.02400000000000091	-57462.87456000218	70226.65851300968	-0.02400000000000091	-143657.18640014154	0.0	7.675640746688128	5.770495496259529	7.640985880384158	12.549230303544054
900	0.00045000000000000595	0.0146766	733.8299999999192	3457.517899999999	-907.6676980458742	4365.185598045875	14323.234191489883	-13589.404191489963	35113.32925650484	42135.9951078058	70226.65851300968	0.03300000000001546	79011.45252003701	70226.65851300968	0.03300000000001546	136474.3270800392	0.0	9.528178151351117	18.10036497770161	9.57941169191809	2.8045341101894374
1000	0.0005000000000000004	0.0161404	807.0199999999111	4264.53789999991	10031.522112224126	-5766.984212224215	-10132.16981027009	10939.18981027	70226.65851300968	0.0	105339.98776951451	0.0	0.0	105339.98776951451	0.0	-79011.45252003701	35113.32925650483	7.798078200382118	-0.0	11.183958016740073	17.526569546569252
1100	0.0005499999999999949	0.018026	901.2999999999007	5165.837899999811	8357.192028630761	-3191.3541286309505	2575.6300835932648	-1674.3300835933642	-70226.65851300968	140453.31702601936	105339.98776951451	0.11300000000005639	270554.367720135	105339.98776951451	0.11300000000005639	270554.367720135	0.0	105.04395388280459	-84.77729415638349	105.39388767405092	-53.38806380716866
1200	0.0006000000000000172	0.0191506	957.5300000004262	6123.367900000238	10697.621696243521	-4574.253796243285	-1382.8996676123347	2340.4296676127597	35113.32925650484	59692.659736058224	105339.98776951451	0.04899999999997817	117320.03555994773	105339.98776951451	0.04899999999997817	-153234.3321601873	0.0	110.80654348898372	-25.647906912445393	110.11413606245388	-3.957676267394982
1300	0.0006500000000000117	0.0210658	1053.289999999884	7176.657900000122	2234.9247909793976	4941.733109020723	9515.986905264008	-8462.696905264123	35113.32925650484	59692.659736058224	105339.98776951451	0.04800000000000182	114925.74912000436	105339.98776951451	0.04800000000000182	-2394.2864399433747	0.0	-0.2516067396665831	23.25616268313175	-0.1409203746593728	3.3920122517121696
1400	0.0007000000000000062	0.0225783	1128.9149999998756	8305.572899999997	16880.10496710427	-8574.532067104275	-13516.265176124998	14645.180176124873	0.0	98317.32191821355	105339.98776951451	0.08000000000004093	191542.91520009798	105339.98776951451	0.08000000000004093	76617.16608009362	0.0	-5.6685160494949045	-22.338585208042073	-5.7520387523487955	-11.022000919812308
1500	0.0007500000000000007	0.0240984	1204.9199999998673	9510.492899999865	7955.655835808666	1554.837064191197	10129.369131295472	-8924.449131295605	-35113.32925650484	126407.98532341741	140453.31702601936	0.10400000000004184	249005.78976010016	140453.31702601936	0.10400000000004184	57462.87456000218	35113.32925650485	5.672897671629536	160.14912140625438	2.3253635046948626	75.93269311179898
1600	0.0007999999999999952	0.0259716	1298.5799999998571	10809.072899999723	15780.519586661818	-4971.446686662098	-6526.283750853295	7824.863750853152	0.0	108851.32069516499	140453.31702601936	0.08900000000005548	213091.49316013284	140453.31702601936	0.08900000000005548	-35914.29659996732	0.0	5.503024074806985	-42.86307519536242	5.304047130258708	-16.78530502157329
1700	0.0008500000000000174	0.027769	1388.4500000006178	12197.52290000034	20252.301424379617	-8054.778524379279	-3083.331837717181	4471.781837717799	0.0	119385.31947211645	140453.31702601936	0.09500000000002728	227457.21180006533	140453.31702601936	0.09500000000002728	14365.718639932486	0.0	-4.659154251320705	-28.238791558529382	-5.109462577857686	-12.315846720526809
1800	0.0009000000000000119	0.0292706	1463.529999999839	13661.052900000179	34249.61521575687	-20588.56231575669	-12533.783791377413	13997.313791377255	105339.98776951451	14045.331702601936	140453.31702601936	0.010999999999967258	26337.150839921607	140453.31702601936	0.010999999999967258	-201120.06096014372	0.0	16.04623665987471	-1.2792127218987723	15.929469845929296	4.879170859308519
1900	0.0009500000000000064	0.0310798	1553.9899999998288	15215.042900000008	17404.124472191983	-2189.0815721919716	18399.48074356472	-16845.49074356489	0.0	143964.64995166982	140453.31702601936	0.1150000000000091	275342.94060002174	140453.31702601936	0.1150000000000091	249005.78976010013	0.0	13.53330527260617	-125.78011897670642	13.617763634320719	-68.5696999055634
2000	0.0010000000000000009	0.0324199	1620.9949999998216	16836.03789999983	42846.05512487351	-26010.017224873674	-23820.935652681703	25441.930652681523	140453.31702601936	10533.99877695145	175566.6462825242	0.008000000000038199	19154.291520091458	175566.6462825242	0.008000000000038199	-256188.64907993027	35113.32925650483	10.75476852862785	-0.736419793746772	12.160772673252392	5.366252380984758
2100	0.0010499999999999954	0.034302	1715.099999999811	18551.137899999638	23338.886832339962	-4787.748932340317	21222.268292533357	-19507.168292533544	0.0	147475.98287732032	175566.6462825242	0.12000000000000455	287314.3728000109	175566.6462825242	0.12000000000000455	268160.0812799194	0.0	12.635787917838469	-60.01032570009215	12.716603972765228	-27.21505790275316
2200	0.0011000000000000176	0.0362628	1813.1400000008066	20364.277900000445	15966.483831607096	4397.794068393354	9185.54300073367	-7372.403000732866	-35113.32925650484	196634.6438364271	175566.6462825242	0.15999999999996817	383085.8303999238	175566.6462825242	0.15999999999996817	95771.45759991289	0.0	10.426325105904288	87.10863320161704	10.62371572286139	51.817674605362484
2300	0.0011500000000000121	0.037579	1878.9499999997931	22243.227900000238	17414.32904598765	4828.898854012591	431.1047856192372	1447.8452143805553	-70226.65851300968	228236.64016728144	175566.6462825242	0.18399999999996908	440548.70495992596	175566.6462825242	0.18399999999996908	57462.87456000218	0.0	133.29212868157504	91.23171105434325	137.65058180637826	59.480493433556
2400	0.0012000000000000066	0.03948	1973.9999999997829	24217.22790000002	45067.327666058605	-20850.09976605858	-25678.998620071172	27652.998620070954	140453.31702601936	35113.32925650484	175566.6462825242	0.027000000000043656	64645.733880104526	175566.6462825242	0.027000000000043656	-375902.97107982147	0.0	14.63853698664125	-3.1004999786782745	14.561664830167947	4.1584301981884355
2500	0.0012500000000000011	0.0408534	2042.669999999775	26259.897899999796	18123.396694369774	8136.501205630022	28986.600971688604	-26943.93097168883	-35113.32925650484	193123.3109107766	210679.97553902902	0.15800000000001546	378297.257520037	210679.97553902902	0.15800000000001546	313651.5236399325	35113.32925650483	10.82056926737557	46.49384888657985	9.679674573002629	23.82807732479105
2600	0.0012999999999999956	0.0426498	2132.4899999997656	28392.38789999956	27846.561279840582	545.8266201589795	-7590.6745854710425	9723.164585470808	35113.32925650484	158009.98165427177	210679.97553902902	0.1290000000000191	308862.95076004573	210679.97553902902	0.1290000000000191	-69434.30675999128	0.0	9.147317010913925	565.8627471670128	8.866381505645203	231.89664711506643
2700	0.0013500000000000179	0.0440829	2204.145000000981	30596.532900000544	40684.58782047758	-10088.054920477036	-10633.881540636015	12838.026540636998	35113.32925650484	143964.64995166982	210679.97553902902	0.1169999999999618	280131.5134799085	210679.97553902902	0.1169999999999618	-28731.43728013721	0.0	2.701876748423772	-27.76863485460306	2.4946010709979776	-9.917478803351822
