#step	#e_xz	#s_xz	#dW	#W	#We	#Wp	#dWp	#dWe	#Delta_Ep	#Delta_Ek	#Delta_U	#Delta_T	#Delta_Q	#Delta_Etot	#Delta_Ttally	#dQ	#dU	#Beta_0_diff	#Beta_0_int	#Beta_1_diff	#Beta_1_int
0	0.0	-5.36753e-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
1000	0.0004989999999999994	0.0167391	8352.810899999991	8352.810899999991	568.7255441846683	7784.085355815321	7784.085355815321	568.7255441846683	-105339.98776951451	38624.66218215532	-105339.98776951451	0.03299999999995862	79011.45251990092	-105339.98776951451	0.03299999999995862	79011.45251990092	-105339.98776951451	10.150383623539428	10.150383623539428	24.756184237554674	24.756184237554674
2000	0.0009989999999999999	0.0326574	16328.700000000015	24681.51090000001	19133.102941186924	5548.40795881308	-2235.6773970022414	18564.377397002256	-70226.65851300968	-24579.330479553388	-105339.98776951451	-0.018000000000029104	-43097.15592006968	-105339.98776951451	-0.018000000000029104	-122108.6084399706	0.0	54.61817013657815	-7.767481454137532	47.3144777425437	15.666537751856257
3000	0.0014990000000000003	0.048088	24044.00000000002	48725.51090000002	36985.59833954636	11739.912560453662	6191.504601640582	17852.49539835944	-140453.31702601936	14045.331702601936	-140453.31702601936	0.012999999999976808	31125.72371994447	-140453.31702601936	0.012999999999976808	74222.87964001414	-35113.32925650485	11.987858269595257	2.651273896604021	21.542454940787227	18.76543377231514
4000	0.0019990000000000008	0.0641668	32083.400000000027	80808.91090000005	71499.42077353629	9309.490126463761	-2430.422433989901	34513.822433989924	-70226.65851300968	112362.65362081549	35113.32925650484	0.09199999999998454	220274.35247996298	35113.32925650484	0.09199999999998454	189148.6287600185	175566.6462825242	-77.82541261746947	23.661269251878448	-18.789072154229505	28.569763812026054
5000	0.0024990000000000012	0.0800852	40042.600000000035	120851.51090000008	108862.4468984947	11989.06400150538	2679.5738750416185	37363.026124958415	-105339.98776951451	3511.332925650484	-105339.98776951451	0.0049999999999954525	11971.432199989113	-105339.98776951451	0.0049999999999954525	-208302.92027997386	-140453.31702601936	-77.73733063311738	0.9985293429483691	-10.3773975082223	19.865014553229454
6000	0.0029990000000000017	0.0955232	47761.60000000004	168613.11090000012	151670.0168388274	16943.094061172727	4954.030059667348	42807.5699403327	-70226.65851300968	-52669.993884757256	-140453.31702601936	-0.040000000000020464	-95771.45760004899	-140453.31702601936	-0.040000000000020464	-107742.8898000381	-35113.32925650485	-21.74853371948914	-5.652536499783801	-5.019743571197272	12.588903157585795
7000	0.003499000000000002	0.111041	55520.50000000005	224133.61090000017	206552.64470102906	17580.966198971128	637.8721377984002	54882.627862201654	-35113.32925650484	-31601.996330854352	-105339.98776951451	-0.02400000000000091	-57462.87456000218	-105339.98776951451	-0.02400000000000091	38308.58304004681	35113.32925650485	60.05683705243488	-3.2684707944757334	92.04940975506153	15.471887098300154
8000	0.0039990000000000026	0.126482	63241.000000000065	287374.61090000026	267289.00991806126	20085.60098193899	2504.6347829678634	60736.3652170322	-35113.32925650484	-108851.32069516499	-140453.31702601936	-0.08800000000002228	-210697.20672005333	-140453.31702601936	-0.08800000000002228	-153234.33216005116	-35113.32925650485	-61.18030988073892	-10.489962780277905	-21.91137936626284	10.810267584286407
9000	0.004499000000000003	0.141663	70831.50000000006	358206.1109000003	332460.12220073666	25745.988699263646	5660.387717324655	65171.1122826754	0.0	-129919.31824906789	-140453.31702601936	-0.10500000000001819	-251400.07620004355	-140453.31702601936	-0.10500000000001819	-40702.869479990215	0.0	-7.190827115148246	-9.764630876546363	5.322714984310287	9.603800988736078
